Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-June-2019,2249,2267,2219.5,2258.45,2238.97187736457,71366,4671,159786467,18021,25.25,47.5,9.45
11-June-2019,2237.9,2263,2233,2252.85,2251.4331717594,121513,7323,273578399,44040,36.24,30,14.95
10-June-2019,2194.9,2234.95,2189.25,2231.1,2220.0181185925,94323,6132,209398769,38369,40.68,45.7,36.2
7-June-2019,2177,2189,2145.2,2178.95,2164.36309219217,84031,3675,181873595,22599,26.89,43.8,1.95
6-June-2019,2199,2199,2151.45,2167.4,2169.00854822964,125991,4297,273275556,47591,37.77,47.55,-31.6
4-June-2019,2226,2226,2175,2182.45,2195.54999009384,111042,6411,243798262,28743,25.88,51,-43.55
3-June-2019,2207.8,2248,2186,2240.35,2224.255803683,292099,6946,649702896,182472,62.47,62,32.55
31-May-2019,2159.95,2205,2155,2196.85,2183.70815282083,165501,9375,361405883,61380,37.09,50,36.9
30-May-2019,2120,2153.4,2116.4,2145.4,2141.91307984302,170973,8241,366209305,71407,41.76,37,25.4
29-May-2019,2071,2121.75,2071,2105.25,2109.97466489615,199565,7348,421077094,91461,45.83,50.75,34.25
28-May-2019,2060,2097.45,2047.25,2075,2077.85712065848,212368,7995,441270361,49071,23.11,50.2,15
27-May-2019,2060,2067.75,2040.4,2053.8,2053.63274939589,222227,4334,456372645,147531,66.39,27.35,-6.2
24-May-2019,2074,2074,2034,2049.65,2052.20472088383,102735,5345,210833252,26443,25.74,40,-24.35
23-May-2019,2100,2115.1,2049,2053.75,2070.87616080558,167233,8725,346318833,71217,42.59,66.1,-46.25
22-May-2019,2114,2121.6,2076.7,2082.75,2091.54435609221,122238,7052,255666199,46714,38.22,44.9,-31.25
21-May-2019,2145,2149.95,2101.6,2109.2,2120.61298337189,87743,4177,186068945,35243,40.17,48.35,-35.8
20-May-2019,2126,2145,2050.25,2139.3,2114.68001307031,131596,6546,278283431,25508,19.38,94.75,13.3
17-May-2019,2120.6,2134.95,2088.95,2096.35,2105.77148569703,96029,3882,202215130,29385,30.6,46,-24.25
16-May-2019,2096,2123.4,2078.05,2109.45,2110.69877397783,85235,3468,179905410,27415,32.16,45.35,13.45
15-May-2019,2105,2125.55,2084.6,2094.5,2102.51304758724,122743,4987,258068759,46748,38.09,40.95,-10.5
14-May-2019,2137.5,2158.2,2074.5,2094.35,2101.13264736009,107390,6246,225640635,28696,26.72,83.7,-43.15
13-May-2019,2140,2167,2122.85,2131.1,2137.06473540353,154027,5231,329165670,69558,45.16,44.15,-8.9
10-May-2019,2174.35,2193.6,2125,2135.55,2157.3763345027,105470,4688,227538482,26259,24.9,68.6,-38.8
9-May-2019,2145,2182,2138,2168.7,2169.78583652921,80051,4070,173693526,24870,31.07,44,23.7
8-May-2019,2158,2167.75,2130.2,2152.65,2153.96497734519,59590,3302,128354773,23867,40.05,37.55,-5.35
7-May-2019,2155,2185,2140.1,2150.35,2162.63961860284,107919,4067,233389905,52929,49.05,44.9,-4.65
6-May-2019,2113,2165,2104.55,2154.7,2150.10306721705,123793,4983,266167709,42450,34.29,60.45,41.7
3-May-2019,2191,2191,2125.15,2132.5,2155.68640692641,167475,9327,361023581,53476,31.93,65.85,-58.5
2-May-2019,2260,2260,2209.45,2214.4,2227.53974512323,67719,4309,150846764,21829,32.23,50.55,-45.6
30-April-2019,2230,2265,2230,2254.95,2250.95434106673,125430,7582,282337203,45897,36.59,35,24.95
26-April-2019,2200,2244.55,2193.75,2238.3,2226.29830143653,149597,7924,333047547,51617,34.5,50.8,38.3
25-April-2019,2169,2199,2169,2191.7,2180.86844718335,97687,6216,213042496,29819,30.52,30,22.7
24-April-2019,2157.7,2195,2155.4,2185.45,2175.11582242958,114028,5518,248024107,32359,28.38,39.6,27.75
23-April-2019,2166,2167.6,2135.1,2157.7,2148.69220593541,74839,3515,160805976,19535,26.1,32.5,-8.3
22-April-2019,2148,2175.95,2147.25,2164.35,2169.78189666729,186485,5344,404631777,99507,53.36,28.7,16.35
18-April-2019,2141,2150.05,2116.3,2145.5,2137.70791860584,88311,4079,188783124,21185,23.99,33.75,4.5
16-April-2019,2116,2153.8,2116,2132.45,2137.56127255629,237129,10848,506877767,61356,25.87,37.8,16.45
15-April-2019,2071,2115,2041.05,2110.05,2085.43616651556,397080,17124,828084993,93127,23.45,73.95,39.05
12-April-2019,2040,2040,2008.05,2013.75,2021.32272332886,164813,6209,333140262,50653,30.73,31.95,-26.25
11-April-2019,2048,2055.3,2012.35,2019.05,2030.15098469912,133391,6837,270803870,37100,27.81,42.95,-28.95
10-April-2019,2098.6,2098.6,2038.55,2043.8,2055.71051928797,108591,5031,223231661,26306,24.22,60.05,-54.8
9-April-2019,2074.7,2096.1,2057,2088.1,2085.44849949033,124591,4965,259828114,35281,28.32,39.1,13.4
8-April-2019,2060,2078,2033.55,2069.75,2058.46270904053,112239,5087,231039796,34812,31.02,44.45,9.75
5-April-2019,2029.7,2058.95,2020,2051.45,2042.88267140907,152384,5206,311302633,31490,20.66,38.95,21.75
4-April-2019,2080,2080.75,2006,2014.3,2035.53999177752,150806,7255,306971644,48203,31.96,74.75,-65.7
3-April-2019,2089.8,2089.8,2060,2080.25,2075.84590000079,126061,4606,261683210,28333,22.48,29.8,-9.55
2-April-2019,2040,2084,2035.55,2079.5,2065.35270206255,156214,6705,322637007,52626,33.69,48.45,39.5
1-April-2019,2010,2040,2009.25,2031.3,2009.36577107518,532795,3804,1070580036,465054,87.29,30.75,21.3
29-March-2019,2017.9,2024.9,1986.75,2000.4,2003.16049449218,148516,5648,297501384,38387,25.85,38.15,-17.5
28-March-2019,1978,2010.95,1972.4,2000.45,1991.72067047284,204930,4876,408163317,101190,49.38,38.55,22.45
27-March-2019,1985,1998.25,1961,1968.2,1976.92772809445,125014,5015,247143643,49681,39.74,37.25,-16.8
26-March-2019,1985,1994,1959,1981.8,1971.84496617172,133616,6422,263470037,45268,33.88,35,-3.2
25-March-2019,2007,2010,1979.3,1986.9,2014.25443986967,535545,5786,1078723894,461292,86.14,30.7,-20.1
22-March-2019,2015.5,2015.5,1985.5,2004.65,1997.98975126289,151043,5535,301782366,49252,32.61,30,-10.85
20-March-2019,2025,2044.6,2002,2015.5,2025.92085847557,154786,5939,313584186,31251,20.19,42.6,-9.5
19-March-2019,2026,2030,1996.4,2024.7,2010.77726996475,82270,4832,165426646,16056,19.52,33.6,-1.3
18-March-2019,2045,2062.9,2012,2021.3,2034.37428906994,108133,4523,219982995,21313,19.71,50.9,-23.7
15-March-2019,1993,2069,1993,2040.2,2040.03328599614,184492,7657,376369821,42397,22.98,76,47.2
14-March-2019,2009,2009,1982.3,1988.6,1991.85820659396,47407,3402,94428022,13475,28.42,26.7,-20.4
13-March-2019,2006.1,2015.15,1978.6,2001.15,2000.68059854957,91421,4920,182904221,32373,35.41,36.55,-4.95
12-March-2019,2018,2024.9,2003.35,2012.55,2014.93905652205,55412,3045,111651803,13945,25.17,21.55,-5.45
11-March-2019,2022.7,2032.8,2005.5,2014.1,2016.93533185715,52839,2639,106572846,14909,28.22,27.3,-8.6
8-March-2019,2029,2032.6,2010.05,2022.3,2023.18726122563,96587,4480,195413588,24130,24.98,22.55,-6.7
7-March-2019,2000.5,2021,2000.5,2011.5,2013.88211892502,70885,5079,142754034,19949,28.14,20.5,11
6-March-2019,1990,2014.35,1986.45,1999.4,2002.27681610646,110167,6353,220584830,33273,30.2,27.9,9.4
5-March-2019,2002,2005,1978.05,1987.85,1986.44594301128,87491,4811,173796142,24913,28.47,26.95,-14.15
1-March-2019,1990,2005.95,1982.5,1991.65,1993.50282825002,141607,8958,282293955,35422,25.01,23.45,1.65
28-February-2019,2065,2070,1977.85,1984.25,2006.62204862379,342425,13887,687117555,119804,34.99,92.15,-80.75
27-February-2019,2037,2070,2020.85,2053.75,2048.69004816308,142848,7002,292651276,20605,14.42,49.15,16.75
26-February-2019,1977,2038.65,1969.9,2032.35,2018.17634918807,217075,8576,438095631,46050,21.21,68.75,55.35
25-February-2019,1927.15,1990,1927.15,1985,1963.84445192631,124746,6033,244981740,30710,24.62,62.85,57.85
22-February-2019,1920,1930.5,1905,1925.9,1920.6317558019,63686,2703,122317354,13712,21.53,25.5,5.9
21-February-2019,1924,1939.8,1898.65,1912.25,1922.57080913279,199720,6301,383975842,49271,24.67,41.15,-11.75
20-February-2019,1913.95,1933.8,1882,1914.45,1908.91203502868,246655,8171,470842698,83147,33.71,51.8,0.5
19-February-2019,1971.75,1971.75,1895,1904.85,1927.49703519621,173030,7153,333514812,46777,27.03,76.75,-66.9
18-February-2019,2035,2044.1,1965.6,1971.75,1984.07958561029,103574,4610,205499059,41347,39.92,78.5,-63.25
15-February-2019,2045,2052,2013,2030.9,2031.9465669671,69676,3141,141577909,13632,19.56,39,-14.1
14-February-2019,2064,2075,2033.15,2044.65,2050.89646477256,40054,2346,82146607,10172,25.4,41.85,-19.35
13-February-2019,2057,2082.75,2050.65,2068.6,2064.23787806734,210280,4392,434067941,143997,68.48,32.1,11.6
12-February-2019,2070,2077,2020.35,2050.65,2043.34426489946,88124,4670,180067670,21701,24.63,56.65,-19.35
11-February-2019,2062,2093.45,2051.05,2065.55,2075.80179498887,70084,3357,145480493,14551,20.76,42.4,3.55
8-February-2019,2078,2088.25,2054,2062.75,2082.53105981419,856235,2882,1783135982,790434,92.32,34.25,-15.25
7-February-2019,2079.4,2097.8,2069.5,2079.9,2083.32948988196,94880,3867,197666302,36271,38.23,28.3,0.5
6-February-2019,2052,2086,2040.4,2077.85,2066.17519949991,355138,3807,733777328,290618,81.83,45.6,25.85
5-February-2019,2049,2054.75,2028.05,2044.35,2042.75381572302,71284,2876,145615663,19421,27.24,26.7,-4.65
4-February-2019,2030,2051,2018.3,2047.15,2039.08771440017,82381,3148,167982085,22564,27.39,32.7,17.15
1-February-2019,2005,2035,1998.3,2030.75,2022.4079716138,112449,4549,227417754,22975,20.43,36.7,25.75
31-January-2019,1988,2019.5,1985.05,2014.6,2006.35134875288,145616,10664,292156858,61344,42.13,34.45,26.6
30-January-2019,1983.15,1983.95,1955.1,1977.85,1973.34546127762,102628,4634,202520498,30755,29.97,28.85,-5.3
29-January-2019,1956,1989.8,1937.3,1983.15,1962.16909951711,126943,5389,249083632,37245,29.34,52.5,27.15
28-January-2019,1931.7,1958,1929.55,1951.95,1947.37362105737,146761,6046,285798500,45972,31.32,28.45,20.25
25-January-2019,1904.4,1933.45,1900.75,1919.05,1920.7323943662,97696,4731,187647872,23765,24.33,32.7,14.65
24-January-2019,1882,1904.5,1876,1901.75,1894.6316526108,83595,3268,158381733,33937,40.6,28.5,19.75
23-January-2019,1900,1907.7,1874,1879.75,1883.7199634607,64588,3027,121665705,16349,25.31,33.7,-20.25
22-January-2019,1908,1918.2,1890.7,1900.35,1903.31071578751,85612,3839,162946237,27666,32.32,27.5,-7.65
21-January-2019,1900.4,1931.3,1896.55,1905.8,1917.1084130858,145868,5952,279644770,45795,31.39,34.75,5.4
18-January-2019,1887,1904.45,1877.3,1900.4,1891.42058352206,75507,3592,142815494,26786,35.47,27.15,13.4
