Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-October-2018,1858,1871.8,1812,1851.5,1842.66427147559,172568,9093,317984888,44253,25.64,59.8,-6.5
23-October-2018,1890,1896.5,1836.8,1844.15,1861.78168644335,114276,6005,212756964,39955,34.96,59.7,-45.85
22-October-2018,1918,1919.5,1888.45,1902.15,1903.45230551985,55237,2980,105140995,13923,25.21,31.05,-15.85
19-October-2018,1940,1940,1872.2,1917.05,1899.50991908223,123953,6947,235449953,26868,21.68,67.8,-22.95
17-October-2018,1974.5,1988.95,1920.1,1927.7,1945.63466367508,306638,8093,596605522,197071,64.27,68.85,-46.8
16-October-2018,1955,1969.15,1935,1961.7,1953.52597371679,168016,6403,328223620,47778,28.44,34.15,6.7
15-October-2018,1937,1955,1921.7,1949.15,1938.81158412542,174014,6201,337380359,22912,13.17,33.3,12.15
12-October-2018,1990,1990,1904.8,1918.4,1926.52502375381,650422,26927,1253054259,130534,20.07,85.2,-71.6
11-October-2018,1998.7,2013.55,1943.05,1979.75,1986.62290587792,358205,17841,711618258,86482,24.14,70.5,-18.95
10-October-2018,2110,2110,2030.2,2043.05,2086.55495637374,1935417,9335,4038353934,1791046,92.54,79.8,-66.95
9-October-2018,2080,2108,2054.4,2090.5,2084.39456936784,127278,7010,265297572,53758,42.24,53.6,10.5
8-October-2018,2106.5,2122.9,2048,2080.1,2075.36880219588,102738,5420,213219240,21461,20.89,74.9,-26.4
5-October-2018,2059.8,2119.85,2024,2103.1,2080.77102814986,166182,8126,345786691,31778,19.12,95.85,43.3
4-October-2018,2161,2161,2058.65,2064.25,2073.56412378881,537593,13671,1114733558,366343,68.15,102.35,-96.75
3-October-2018,2246.1,2253.85,2155,2162.45,2191.31325547638,151560,8821,332115437,44781,29.55,98.85,-83.65
1-October-2018,2186,2273,2186,2255.8,2240.37613298733,186123,9298,416985527,52663,28.29,87,69.8
28-September-2018,2184,2190,2159.55,2184.5,2177.03479646382,77824,5130,169425556,22554,28.98,30.45,0.5
27-September-2018,2150,2202,2136.6,2187.8,2165.22077589765,121150,6747,262316497,25506,21.05,65.4,37.8
26-September-2018,2183,2197.1,2135,2141.45,2159.15190079948,79677,5848,172034746,24167,30.33,62.1,-41.55
25-September-2018,2200,2209.6,2155,2183.1,2187.0887289419,128098,7172,280161692,30780,24.03,54.6,-16.9
24-September-2018,2104,2214.15,2098.3,2198.7,2170.00933213177,299610,15149,650156496,133124,44.43,115.85,94.7
21-September-2018,2078,2130.85,2052.5,2103.8,2089.45598540615,124436,5854,260003545,58452,46.97,78.35,25.8
19-September-2018,2074,2088.1,2066,2076.9,2080.54968669239,56494,4929,117538574,26359,46.66,22.1,2.9
18-September-2018,2075,2077.3,2059,2070,2069.83540143537,44727,3051,92577528,15118,33.8,18.3,-5
17-September-2018,2070,2077,2054.85,2071.6,2066.31902807819,49469,2868,102218736,15587,31.51,22.15,1.6
14-September-2018,2045,2070.85,2018.85,2063.3,2039.96923336639,142167,5617,290016306,44608,31.38,52,18.3
12-September-2018,2051,2067.8,2040,2043.75,2048.89739222728,162054,6631,332032018,103442,63.83,27.8,-7.25
11-September-2018,2084,2089.25,2042,2045.95,2058.00240300269,94049,4443,193553068,53194,56.56,47.25,-38.05
10-September-2018,2082.95,2093.4,2074.1,2081.2,2084.88254556998,59853,3289,124786475,30966,51.74,19.3,-1.75
7-September-2018,2080,2083.95,2065.55,2079.7,2077.23784069429,49201,2540,102202179,19523,39.68,18.4,-0.3
6-September-2018,2080,2081.5,2063,2075.7,2071.82580093313,64300,2876,133218399,27126,42.19,18.5,-4.3
5-September-2018,2100,2105.95,2075,2078.15,2085.06437567575,136884,5536,285411952,84455,61.7,30.95,-21.85
4-September-2018,2055,2100,2055,2093.2,2091.23453644683,318313,11948,665667139,182492,57.33,45,38.2
3-September-2018,2080.05,2089.95,2052.1,2054.95,2074.01449897117,125871,3903,261058279,40773,32.39,37.85,-25.1
31-August-2018,2080,2090.5,2073.05,2078.2,2083.25179390343,166815,6901,347517648,78907,47.3,17.45,-1.8
30-August-2018,2070,2080.2,2064.4,2079.45,2075.93639052466,187645,7343,389539084,94721,50.48,15.8,9.45
29-August-2018,2072.9,2072.9,2046.1,2065.8,2064.06034429376,96894,6173,199995063,41854,43.2,26.8,-7.1
28-August-2018,2052.75,2072,2051.65,2065.55,2064.83045288105,167682,8582,346234900,96133,57.33,20.35,12.8
27-August-2018,2042,2058.55,2036.55,2051.65,2051.88366864251,102741,4277,210812580,58088,56.54,22,9.65
